Country Name,Country Code,Indicator Name,job
Hungary,HUN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
IBRD only,IBD,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
IDA & IBRD total,IBT,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
IDA total,IDA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
IDA blend,IDB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Indonesia,IDN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
IDA only,IDX,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Isle of Man,IMN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
India,IND,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Not classified,INX,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Ireland,IRL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
"Iran, Islamic Rep.",IRN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Iraq,IRQ,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Iceland,ISL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Israel,ISR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Italy,ITA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Jamaica,JAM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Jordan,JOR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Japan,JPN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Kazakhstan,KAZ,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Kenya,KEN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Kyrgyz Republic,KGZ,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Cambodia,KHM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Kiribati,KIR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
St. Kitts and Nevis,KNA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
"Korea, Rep.",KOR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Kuwait,KWT,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Latin America & Caribbean (excluding high income),LAC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Lao PDR,LAO,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Lebanon,LBN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Liberia,LBR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Libya,LBY,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
St. Lucia,LCA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Latin America & Caribbean,LCN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Least developed countries: UN classification,LDC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Low income,LIC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Liechtenstein,LIE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Sri Lanka,LKA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Lower middle income,LMC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Low & middle income,LMY,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Lesotho,LSO,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Late-demographic dividend,LTE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Lithuania,LTU,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Luxembourg,LUX,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Latvia,LVA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
"Macao SAR, China",MAC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
St. Martin (French part),MAF,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Morocco,MAR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Monaco,MCO,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Moldova,MDA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Madagascar,MDG,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Maldives,MDV,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Middle East & North Africa,MEA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Mexico,MEX,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Marshall Islands,MHL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Middle income,MIC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
North Macedonia,MKD,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Mali,MLI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Malta,MLT,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Myanmar,MMR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Middle East & North Africa (excluding high income),MNA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Montenegro,MNE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Mongolia,MNG,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Northern Mariana Islands,MNP,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Mozambique,MOZ,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Mauritania,MRT,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Mauritius,MUS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Malawi,MWI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Malaysia,MYS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
North America,NAC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Namibia,NAM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
New Caledonia,NCL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Niger,NER,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Nigeria,NGA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Nicaragua,NIC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Netherlands,NLD,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Norway,NOR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Nepal,NPL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Nauru,NRU,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
New Zealand,NZL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
OECD members,OED,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Oman,OMN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Other small states,OSS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Pakistan,PAK,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Panama,PAN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Peru,PER,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Philippines,PHL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Palau,PLW,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Papua New Guinea,PNG,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Poland,POL,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Pre-demographic dividend,PRE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Puerto Rico,PRI,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
"Korea, Dem. People’s Rep.",PRK,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Portugal,PRT,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Paraguay,PRY,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
West Bank and Gaza,PSE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Pacific island small states,PSS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Post-demographic dividend,PST,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
French Polynesia,PYF,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Qatar,QAT,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Romania,ROU,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Russian Federation,RUS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Rwanda,RWA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
South Asia,SAS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Saudi Arabia,SAU,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Sudan,SDN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Senegal,SEN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Singapore,SGP,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Solomon Islands,SLB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Sierra Leone,SLE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
El Salvador,SLV,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
San Marino,SMR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Somalia,SOM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Serbia,SRB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Sub-Saharan Africa (excluding high income),SSA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
South Sudan,SSD,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Sub-Saharan Africa,SSF,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Small states,SST,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Sao Tome and Principe,STP,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Suriname,SUR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Slovak Republic,SVK,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Slovenia,SVN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Sweden,SWE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Eswatini,SWZ,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Sint Maarten (Dutch part),SXM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Seychelles,SYC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Syrian Arab Republic,SYR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Turks and Caicos Islands,TCA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Chad,TCD,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
East Asia & Pacific (IDA & IBRD countries),TEA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Europe & Central Asia (IDA & IBRD countries),TEC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Togo,TGO,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Thailand,THA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Tajikistan,TJK,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Turkmenistan,TKM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Latin America & the Caribbean (IDA & IBRD countries),TLA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Timor-Leste,TLS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Middle East & North Africa (IDA & IBRD countries),TMN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Tonga,TON,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
South Asia (IDA & IBRD),TSA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Sub-Saharan Africa (IDA & IBRD countries),TSS,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Trinidad and Tobago,TTO,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Tunisia,TUN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Turkey,TUR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Tuvalu,TUV,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Tanzania,TZA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Uganda,UGA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Ukraine,UKR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Upper middle income,UMC,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Uruguay,URY,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
United States,USA,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Uzbekistan,UZB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
St. Vincent and the Grenadines,VCT,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
"Venezuela, RB",VEN,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
British Virgin Islands,VGB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Virgin Islands (U.S.),VIR,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Vietnam,VNM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Vanuatu,VUT,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
World,WLD,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),
Samoa,WSM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Kosovo,XKX,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
"Yemen, Rep.",YEM,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
South Africa,ZAF,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Zambia,ZMB,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
Zimbabwe,ZWE,Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),1
